TEXT|NAICS
BARLEY FARMING, FIELD AND SEED PRODUCTION|111199
BROOMCORN FARMING|111199
BROOMCORN FARMING|111199
BUCKWHEAT FARMING|111199
BUCKWHEAT FARMING|111199
MILO FARMING, FIELD AND SEED PRODUCTION|111199
MILO FARMING, FIELD AND SEED PRODUCTION|111199
OAT FARMING, FIELD AND SEED PRODUCTION|111199
OAT FARMING, FIELD AND SEED PRODUCTION|111199
RYE FARMING, FIELD AND SEED PRODUCTION|111199
RYE FARMING, FIELD AND SEED PRODUCTION|111199
SORGHUM FARMING, FIELD AND SEED PRODUCTION|111199
SORGHUM FARMING, FIELD AND SEED PRODUCTION|111199
WILD RICE FARMING, FIELD AND SEED PRODUCTION|111199
WILD RICE FARMING, FIELD AND SEED PRODUCTION|111199
POTATO FARMING|111211
POTATO FARMING|111211
POTATO FARMING, FIELD AND SEED POTATO PRODUCTION|111211
POTATO FARMING, FIELD AND SEED POTATO PRODUCTION|111211
SWEET POTATO FARMING, FIELD AND SEED POTATO PRODUCTION|111211
SWEET POTATO FARMING, FIELD AND SEED POTATO PRODUCTION|111211
VEGETABLE AND MELON FARMING, POTATO DOMINANT CROP, FIELD AND SEED PRODUCTION|111211
VEGETABLE AND MELON FARMING, POTATO DOMINANT CROP, FIELD AND SEED PRODUCTION|111211
VEGETABLE AND POTATO FARMING, POTATO DOMINANT CROP, FIELD AND SEED POTATO PRODUCTION|111211
VEGETABLE AND POTATO FARMING, POTATO DOMINANT CROP, FIELD AND SEED POTATO PRODUCTION|111211
YAM FARMING, FIELD AND SEED PRODUCTION|111211
YAM FARMING, FIELD AND SEED PRODUCTION|111211
ACORN SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ACORN SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ARTICHOKE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ARTICHOKE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ASPARAGUS FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ASPARAGUS FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
BEAN (EXCEPT DRY) FARMING, FIELD AND SEED PRODUCTION|111219
BEAN (EXCEPT DRY) FARMING, FIELD AND SEED PRODUCTION|111219
BEET FARMING (EXCEPT SUGAR BEETS), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
BEET FARMING (EXCEPT SUGAR BEETS), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
BROCCOLI FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
BROCCOLI FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
BRUSSEL SPROUT FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
BRUSSEL SPROUT FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
BUTTERNUT SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
BUTTERNUT SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CABBAGE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CABBAGE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CANTALOUPE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CANTALOUPE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CARROT FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CARROT FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CASABA MELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CASABA MELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CASSAVA FARMING, FIELD AND SEED PRODUCTION|111219
CASSAVA FARMING, FIELD AND SEED PRODUCTION|111219
CAULIFLOWER FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CAULIFLOWER FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CELERY FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CELERY FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CHINESE PEA FARMING, BEDDING PLANT AND SEED PRODUCTION|111219
CHINESE PEA FARMING, BEDDING PLANT AND SEED PRODUCTION|111219
CHIVE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CHIVE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
COLLARD FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
COLLARD FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
COWPEA (EXCEPT DRY) FARMING, FIELD AND SEED PRODUCTION|111219
COWPEA (EXCEPT DRY) FARMING, FIELD AND SEED PRODUCTION|111219
CRENSHAW MELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CRENSHAW MELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CUCUMBER FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
CUCUMBER FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
DILL FARMING, FIELD AND SEED PRODUCTION|111219
DILL FARMING, FIELD AND SEED PRODUCTION|111219
EGGPLANT FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
EGGPLANT FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ENDIVE FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ENDIVE FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ENGLISH PEA FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ENGLISH PEA FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ESCAROLE FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ESCAROLE FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
GARLIC FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
GARLIC FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
GINGERROOT FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
GINGERROOT FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
GINSENG FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
GINSENG FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
GREEN BEAN FARMING, FIELD AND SEED PRODUCTION|111219
GREEN BEAN FARMING, FIELD AND SEED PRODUCTION|111219
GREEN COWPEA FARMING, FIELD AND SEED PRODUCTION|111219
GREEN COWPEA FARMING, FIELD AND SEED PRODUCTION|111219
GREEN LIMA BEAN FARMING, FIELD AND SEED PRODUCTION|111219
GREEN LIMA BEAN FARMING, FIELD AND SEED PRODUCTION|111219
GREEN PEA FARMING, FIELD AND SEED PRODUCTION|111219
GREEN PEA FARMING, FIELD AND SEED PRODUCTION|111219
HONEYDEW MELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
HONEYDEW MELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
KALE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
KALE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
LEEK FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
LEEK FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
LETTUCE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
LETTUCE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
MELON FARMING (E.G., CANTALOUPE, CASABA, HONEYDEW, WATERMELON), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
MELON FARMING (E.G., CANTALOUPE, CASABA, HONEYDEW, WATERMELON), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
MUSKMELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
MUSKMELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
OKRA FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
OKRA FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ONION FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ONION FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING|111219
OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING|111219
PARSLEY FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
PARSLEY FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
PARSNIP FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
PARSNIP FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
PEA (EXCEPT DRY) FARMING, FIELD AND SEED PRODUCTION|111219
PEA (EXCEPT DRY) FARMING, FIELD AND SEED PRODUCTION|111219
PEPPER (E.G., BELL, CHILI, GREEN, HOT, RED, SWEET) FARMING|111219
PEPPER (E.G., BELL, CHILI, GREEN, HOT, RED, SWEET) FARMING|111219
PUMPKIN FARMING, FIELD AND SEED PRODUCTION|111219
PUMPKIN FARMING, FIELD AND SEED PRODUCTION|111219
RADISH FARMING, FIELD AND SEED PRODUCTION|111219
RADISH FARMING, FIELD AND SEED PRODUCTION|111219
RHUBARB FARMING, FIELD AND SEED PRODUCTION|111219
RHUBARB FARMING, FIELD AND SEED PRODUCTION|111219
ROMAINE LETTUCE FARMING, FIELD AND SEED PRODUCTION|111219
ROMAINE LETTUCE FARMING, FIELD AND SEED PRODUCTION|111219
RUTABAGA FARMING, FIELD AND SEED PRODUCTION|111219
RUTABAGA FARMING, FIELD AND SEED PRODUCTION|111219
SHALLOT FARMING, FIELD AND SEED PRODUCTION|111219
SHALLOT FARMING, FIELD AND SEED PRODUCTION|111219
SNAP BEAN FARMING (I.E., BUSH AND POLE), FIELD AND SEED PRODUCTION|111219
SNAP BEAN FARMING (I.E., BUSH AND POLE), FIELD AND SEED PRODUCTION|111219
SNOW PEA FARMING, FIELD AND SEED PRODUCTION|111219
SNOW PEA FARMING, FIELD AND SEED PRODUCTION|111219
SPAGHETTI SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
SPAGHETTI SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
SPINACH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
SPINACH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
STRING BEAN FARMING, FIELD AND SEED PRODUCTION|111219
STRING BEAN FARMING, FIELD AND SEED PRODUCTION|111219
SWEET CORN FARMING, FIELD AND SEED PRODUCTION|111219
SWEET CORN FARMING, FIELD AND SEED PRODUCTION|111219
SWEET PEPPER FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
SWEET PEPPER FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
TARO FARMING, FIELD AND SEED PRODUCTION|111219
TARO FARMING, FIELD AND SEED PRODUCTION|111219
TOMATO FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
TOMATO FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
TRUCK FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
TRUCK FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
TURNIP FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
TURNIP FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
VEGETABLE AND MELON FARMING, VEGETABLE (EXCEPT POTATO) AND MELON DOMINANT CROPS, FIELD, BEDDING PLANTS AND SEED PRODUCTION|111219
VEGETABLE AND MELON FARMING, VEGETABLE (EXCEPT POTATO) AND MELON DOMINANT CROPS, FIELD, BEDDING PLANTS AND SEED PRODUCTION|111219
VEGETABLE AND POTATO FARMING, VEGETABLE (EXCEPT POTATO) DOMINANT CROPS, FIELD, BEDDING PLANTS AND SEED PRODUCTION|111219
VEGETABLE AND POTATO FARMING, VEGETABLE (EXCEPT POTATO) DOMINANT CROPS, FIELD, BEDDING PLANTS AND SEED PRODUCTION|111219
WATERMELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
WATERMELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ZUCCHINI FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ZUCCHINI FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219
ORANGE GROVES|111310
ORANGE GROVES|111310
CITRUS (EXCEPT ORANGE) GROVES|111320
CITRUS (EXCEPT ORANGE) GROVES|111320
CITRUS GROVES (EXCEPT ORANGE)|111320
CITRUS GROVES (EXCEPT ORANGE)|111320
GRAPEFRUIT GROVES|111320
GRAPEFRUIT GROVES|111320
LEMON GROVES|111320
LEMON GROVES|111320
LIME GROVES|111320
LIME GROVES|111320
MANDARIN GROVES|111320
MANDARIN GROVES|111320
TANGELO GROVES|111320
TANGELO GROVES|111320
TANGERINE GROVES|111320
TANGERINE GROVES|111320
APPLE ORCHARDS|111331
APPLE ORCHARDS|111331
GRAPE FARMING WITHOUT MAKING WINE|111332
GRAPE FARMING WITHOUT MAKING WINE|111332
GRAPE VINEYARDS|111332
GRAPE VINEYARDS|111332
RAISIN FARMING|111332
RAISIN FARMING|111332
STRAWBERRY FARMING|111333
STRAWBERRY FARMING|111333
BERRY (EXCEPT STRAWBERRY) FARMING|111334
BERRY (EXCEPT STRAWBERRY) FARMING|111334
BLACKBERRY FARMING|111334
BLACKBERRY FARMING|111334
BLUEBERRY FARMING|111334
BLUEBERRY FARMING|111334
BOYSENBERRY FARMING|111334
BOYSENBERRY FARMING|111334
CRANBERRY FARMING|111334
CRANBERRY FARMING|111334
CURRANT FARMING|111334
CURRANT FARMING|111334
DEWBERRY FARMING|111334
DEWBERRY FARMING|111334
GOOSEBERRY FARMING|111334
GOOSEBERRY FARMING|111334
HUCKLEBERRY FARMING|111334
HUCKLEBERRY FARMING|111334
LOGANBERRY FARMING|111334
LOGANBERRY FARMING|111334
RASPBERRY FARMING|111334
RASPBERRY FARMING|111334
YOUNGBERRY FARMING|111334
YOUNGBERRY FARMING|111334
ALMOND FARMING|111335
ALMOND FARMING|111335
BRAZIL NUT FARMING|111335
BRAZIL NUT FARMING|111335
CASHEW FARMING|111335
CASHEW FARMING|111335
FILBERT FARMING|111335
FILBERT FARMING|111335
HAZELNUT FARMING|111335
HAZELNUT FARMING|111335
MACADAMIA FARMING|111335
MACADAMIA FARMING|111335
PECAN FARMING|111335
PECAN FARMING|111335
PISTACHIO FARMING|111335
PISTACHIO FARMING|111335
TREE NUT FARMING|111335
TREE NUT FARMING|111335
WALNUT FARMING|111335
WALNUT FARMING|111335
FRUIT AND TREE NUT COMBINATION FARMING|111336
FRUIT AND TREE NUT COMBINATION FARMING|111336
APRICOT FARMING|111339
APRICOT FARMING|111339
AVOCADO FARMING|111339
AVOCADO FARMING|111339
BANANA FARMING|111339
BANANA FARMING|111339
CACTUS FRUIT FARMING|111339
CACTUS FRUIT FARMING|111339
CHERRY FARMING|111339
CHERRY FARMING|111339
COCONUT TREE FARMING|111339
COCONUT TREE FARMING|111339
COFFEE FARMING|111339
COFFEE FARMING|111339
DATE FARMING|111339
DATE FARMING|111339
DECIDUOUS TREE FRUIT (EXCEPT APPLES, CITRUS) FARMING|111339
DECIDUOUS TREE FRUIT (EXCEPT APPLES, CITRUS) FARMING|111339
FIG FARMING|111339
FIG FARMING|111339
GUAVA FARMING|111339
GUAVA FARMING|111339
KIWI FRUIT FARMING|111339
KIWI FRUIT FARMING|111339
MANGO FARMING|111339
MANGO FARMING|111339
NECTARINE FARMING|111339
NECTARINE FARMING|111339
NONCITRUS FRUIT FARMING|111339
NONCITRUS FRUIT FARMING|111339
OLIVE FARMING|111339
OLIVE FARMING|111339
OTHER NONCITRUS FRUIT FARMING|111339
OTHER NONCITRUS FRUIT FARMING|111339
PAPAYA FARMING|111339
PAPAYA FARMING|111339
PASSION FRUIT FARMING|111339
PASSION FRUIT FARMING|111339
PEACH FARMING|111339
PEACH FARMING|111339
PEAR FARMING|111339
PEAR FARMING|111339
PERSIMMON FARMING|111339
PERSIMMON FARMING|111339
PINEAPPLE FARMING|111339
PINEAPPLE FARMING|111339
PLANTAIN FARMING|111339
PLANTAIN FARMING|111339
PLUM FARMING|111339
PLUM FARMING|111339
POMEGRANATE FARMING|111339
POMEGRANATE FARMING|111339
PRICKLY PEAR FARMING|111339
PRICKLY PEAR FARMING|111339
PRUNE FARMING|111339
PRUNE FARMING|111339
QUINCE FARMING|111339
QUINCE FARMING|111339
MUSHROOM FARMING|111411
MUSHROOM FARMING|111411
MUSHROOM PRODUCTION|111411
MUSHROOM PRODUCTION|111411
MUSHROOM SPAWN FARMING|111411
MUSHROOM SPAWN FARMING|111411
SHITAKE MUSHROOM FARMING|111411
SHITAKE MUSHROOM FARMING|111411
ALFALFA SPROUT FARMING, GROWN UNDER COVER|111419
ALFALFA SPROUT FARMING, GROWN UNDER COVER|111419
BEAN SPROUT FARMING,  GROWN UNDER COVER|111419
BEAN SPROUT FARMING,  GROWN UNDER COVER|111419
CANNABIS, GROWN UNDER COVER|111419
CANNABIS, GROWN UNDER COVER|111419
CUCUMBER FARMING, GROWN UNDER COVER|111419
CUCUMBER FARMING, GROWN UNDER COVER|111419
EGGPLANT FARMING, GROWN UNDER COVER|111419
EGGPLANT FARMING, GROWN UNDER COVER|111419
ENDIVE FARMING, GROWN UNDER COVER|111419
ENDIVE FARMING, GROWN UNDER COVER|111419
ENGLISH PEA FARMING, GROWN UNDER COVER|111419
ENGLISH PEA FARMING, GROWN UNDER COVER|111419
ESCAROLE FARMING, GROWN UNDER COVER|111419
ESCAROLE FARMING, GROWN UNDER COVER|111419
FRUIT FARMING, GROWN UNDER COVER|111419
FRUIT FARMING, GROWN UNDER COVER|111419
GARLIC FARMING, GROWN UNDER COVER|111419
GARLIC FARMING, GROWN UNDER COVER|111419
GINGERROOT FARMING, GROWN UNDER COVER|111419
GINGERROOT FARMING, GROWN UNDER COVER|111419
GINSENG FARMING, GROWN UNDER COVER|111419
GINSENG FARMING, GROWN UNDER COVER|111419
HEMP, GROWN UNDER COVER|111419
HEMP, GROWN UNDER COVER|111419
HERB FARMING, GROWN UNDER COVER|111419
HERB FARMING, GROWN UNDER COVER|111419
HYDROPONIC CROP FARMING|111419
HYDROPONIC CROP FARMING|111419
MARIJUANA, GROWN UNDER COVER|111419
MARIJUANA, GROWN UNDER COVER|111419
MELON FARMING, GROWN UNDER COVER|111419
MELON FARMING, GROWN UNDER COVER|111419
OTHER FOOD CROPS GROWN UNDER COVER|111419
OTHER FOOD CROPS GROWN UNDER COVER|111419
RHUBARB, GROWN UNDER COVER|111419
RHUBARB, GROWN UNDER COVER|111419
SPICE FARMING, GROWN UNDER COVER|111419
SPICE FARMING, GROWN UNDER COVER|111419
TOMATO FARMING, GROWN UNDER COVER|111419
TOMATO FARMING, GROWN UNDER COVER|111419
TRUFFLES FARMING, GROWN UNDER COVER|111419
TRUFFLES FARMING, GROWN UNDER COVER|111419
VEGETABLE FARMING, GROWN UNDER COVER|111419
VEGETABLE FARMING, GROWN UNDER COVER|111419
AZALEA FARMING|111421
AZALEA FARMING|111421
CHRISTMAS TREE GROWING|111421
CHRISTMAS TREE GROWING|111421
CORMS FARMING|111421
CORMS FARMING|111421
FIELD NURSERIES (I.E., GROWING OF FLOWERS AND SHRUBBERY)|111421
FIELD NURSERIES (I.E., GROWING OF FLOWERS AND SHRUBBERY)|111421
FLOWER BULB GROWING|111421
FLOWER BULB GROWING|111421
FRUIT STOCK (E.G., PLANTS, SEEDLINGS, TREES) GROWING|111421
FRUIT STOCK (E.G., PLANTS, SEEDLINGS, TREES) GROWING|111421
HERBACEOUS PERENNIAL GROWING|111421
HERBACEOUS PERENNIAL GROWING|111421
NURSERY AND TREE PRODUCTION|111421
NURSERY AND TREE PRODUCTION|111421
NURSERY STOCK GROWING|111421
NURSERY STOCK GROWING|111421
NURSERY WITH TREE PRODUCTION (EXCEPT FOR REFORESTATION)|111421
NURSERY WITH TREE PRODUCTION (EXCEPT FOR REFORESTATION)|111421
PRESEEDED MAT FARMING|111421
PRESEEDED MAT FARMING|111421
PROPAGATION MATERIAL FARMING|111421
PROPAGATION MATERIAL FARMING|111421
ROSE BUSH GROWING|111421
ROSE BUSH GROWING|111421
SHORT ROTATION WOODY TREE GROWING (I.E., GROWING AND HARVESTING CYCLE TEN YEARS OR LESS)|111421
SHORT ROTATION WOODY TREE GROWING (I.E., GROWING AND HARVESTING CYCLE TEN YEARS OR LESS)|111421
SHRUBBERY FARMING|111421
SHRUBBERY FARMING|111421
SOD FARMING|111421
SOD FARMING|111421
TISSUE CULTURE FARMING|111421
TISSUE CULTURE FARMING|111421
TREE CROP FARMING (EXCEPT FORESTRY), SHORT ROTATION GROWING AND HARVESTING CYCLE|111421
TREE CROP FARMING (EXCEPT FORESTRY), SHORT ROTATION GROWING AND HARVESTING CYCLE|111421
TURF FARMING|111421
TURF FARMING|111421
BEDDING PLANT GROWING (EXCEPT VEGETABLE AND MELON BEDDING PLANTS)|111422
BEDDING PLANT GROWING (EXCEPT VEGETABLE AND MELON BEDDING PLANTS)|111422
CULTIVATED FLORIST GREENS GROWING|111422
CULTIVATED FLORIST GREENS GROWING|111422
CUT FLOWER GROWING|111422
CUT FLOWER GROWING|111422
CUT ROSE GROWING|111422
CUT ROSE GROWING|111422
CUTTINGS FARMING|111422
CUTTINGS FARMING|111422
FLORICULTURE PRODUCTION|111422
FLORICULTURE PRODUCTION|111422
FLOWER GROWING|111422
FLOWER GROWING|111422
FLOWER SEED PRODUCTION|111422
FLOWER SEED PRODUCTION|111422
FOLIAGE GROWING|111422
FOLIAGE GROWING|111422
HANGING BASKET PLANT GROWING|111422
HANGING BASKET PLANT GROWING|111422
HOUSE PLANT GROWING|111422
HOUSE PLANT GROWING|111422
ORNAMENTAL PLANT GROWING|111422
ORNAMENTAL PLANT GROWING|111422
PLANT, ORNAMENTAL, GROWING|111422
PLANT, ORNAMENTAL, GROWING|111422
PLANT, POTTED FLOWER AND FOLIAGE, GROWING|111422
PLANT, POTTED FLOWER AND FOLIAGE, GROWING|111422
PLUG (I.E., FLORICULTURE PRODUCTS) GROWING|111422
PLUG (I.E., FLORICULTURE PRODUCTS) GROWING|111422
TOBACCO FARMING|111910
TOBACCO FARMING|111910
TOBACCO FARMING, FIELD AND SEED PRODUCTION|111910
TOBACCO FARMING, FIELD AND SEED PRODUCTION|111910
COTTON FARMING|111920
COTTON FARMING|111920
COTTON FARMING, FIELD AND SEED PRODUCTION|111920
COTTON FARMING, FIELD AND SEED PRODUCTION|111920
COTTONSEED FARMING|111920
COTTONSEED FARMING|111920
CANE FARMING, SUGAR, FIELD PRODUCTION|111930
CANE FARMING, SUGAR, FIELD PRODUCTION|111930
SUGARCANE FARMING|111930
SUGARCANE FARMING|111930
SUGARCANE FARMING, FIELD PRODUCTION|111930
SUGARCANE FARMING, FIELD PRODUCTION|111930
ALFALFA HAY FARMING|111940
ALFALFA HAY FARMING|111940
CLOVER HAY FARMING|111940
CLOVER HAY FARMING|111940
GRASS HAY FARMING|111940
GRASS HAY FARMING|111940
HAY FARMING|111940
HAY FARMING|111940
HAY FARMING (E.G., ALFALFA HAY, CLOVER HAY, GRASS HAY)|111940
HAY FARMING (E.G., ALFALFA HAY, CLOVER HAY, GRASS HAY)|111940
MIXED HAY FARMING|111940
MIXED HAY FARMING|111940
SUGAR BEET FARMING|111991
SUGAR BEET FARMING|111991
