TEXT|NAICS|SAMPLE_WEIGHT
BEET FARMING (EXCEPT SUGAR BEETS), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
BEET FARMING (EXCEPT SUGAR BEETS), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
BROCCOLI FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
BROCCOLI FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
BRUSSEL SPROUT FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
BRUSSEL SPROUT FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
BUTTERNUT SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
BUTTERNUT SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CABBAGE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CABBAGE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CANTALOUPE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CANTALOUPE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CARROT FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CARROT FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CASABA MELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CASABA MELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CASSAVA FARMING, FIELD AND SEED PRODUCTION|111219|23.92
CASSAVA FARMING, FIELD AND SEED PRODUCTION|111219|23.92
CAULIFLOWER FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CAULIFLOWER FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CELERY FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CELERY FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CHINESE PEA FARMING, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CHINESE PEA FARMING, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CHIVE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CHIVE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
COLLARD FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
COLLARD FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
COWPEA (EXCEPT DRY) FARMING, FIELD AND SEED PRODUCTION|111219|23.92
COWPEA (EXCEPT DRY) FARMING, FIELD AND SEED PRODUCTION|111219|23.92
CRENSHAW MELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CRENSHAW MELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CUCUMBER FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
CUCUMBER FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
DILL FARMING, FIELD AND SEED PRODUCTION|111219|23.92
DILL FARMING, FIELD AND SEED PRODUCTION|111219|23.92
EGGPLANT FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
EGGPLANT FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ENDIVE FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ENDIVE FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ENGLISH PEA FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ENGLISH PEA FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ESCAROLE FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ESCAROLE FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
GARLIC FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
GARLIC FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
GINGERROOT FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
GINGERROOT FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
GINSENG FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
GINSENG FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
GREEN BEAN FARMING, FIELD AND SEED PRODUCTION|111219|23.92
GREEN BEAN FARMING, FIELD AND SEED PRODUCTION|111219|23.92
GREEN COWPEA FARMING, FIELD AND SEED PRODUCTION|111219|23.92
GREEN COWPEA FARMING, FIELD AND SEED PRODUCTION|111219|23.92
GREEN LIMA BEAN FARMING, FIELD AND SEED PRODUCTION|111219|23.92
GREEN LIMA BEAN FARMING, FIELD AND SEED PRODUCTION|111219|23.92
GREEN PEA FARMING, FIELD AND SEED PRODUCTION|111219|23.92
GREEN PEA FARMING, FIELD AND SEED PRODUCTION|111219|23.92
HONEYDEW MELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
HONEYDEW MELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
KALE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
KALE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
LEEK FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
LEEK FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
LETTUCE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
LETTUCE FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
MELON FARMING (E.G., CANTALOUPE, CASABA, HONEYDEW, WATERMELON), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
MELON FARMING (E.G., CANTALOUPE, CASABA, HONEYDEW, WATERMELON), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
MUSKMELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
MUSKMELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
OKRA FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
OKRA FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ONION FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ONION FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING|111219|23.92
OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING|111219|23.92
PARSLEY FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
PARSLEY FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
PARSNIP FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
PARSNIP FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
PEA (EXCEPT DRY) FARMING, FIELD AND SEED PRODUCTION|111219|23.92
PEA (EXCEPT DRY) FARMING, FIELD AND SEED PRODUCTION|111219|23.92
PEPPER (E.G., BELL, CHILI, GREEN, HOT, RED, SWEET) FARMING|111219|23.92
PEPPER (E.G., BELL, CHILI, GREEN, HOT, RED, SWEET) FARMING|111219|23.92
PUMPKIN FARMING, FIELD AND SEED PRODUCTION|111219|23.92
PUMPKIN FARMING, FIELD AND SEED PRODUCTION|111219|23.92
RADISH FARMING, FIELD AND SEED PRODUCTION|111219|23.92
RADISH FARMING, FIELD AND SEED PRODUCTION|111219|23.92
RHUBARB FARMING, FIELD AND SEED PRODUCTION|111219|23.92
RHUBARB FARMING, FIELD AND SEED PRODUCTION|111219|23.92
ROMAINE LETTUCE FARMING, FIELD AND SEED PRODUCTION|111219|23.92
ROMAINE LETTUCE FARMING, FIELD AND SEED PRODUCTION|111219|23.92
RUTABAGA FARMING, FIELD AND SEED PRODUCTION|111219|23.92
RUTABAGA FARMING, FIELD AND SEED PRODUCTION|111219|23.92
SHALLOT FARMING, FIELD AND SEED PRODUCTION|111219|23.92
SHALLOT FARMING, FIELD AND SEED PRODUCTION|111219|23.92
SNAP BEAN FARMING (I.E., BUSH AND POLE), FIELD AND SEED PRODUCTION|111219|23.92
SNAP BEAN FARMING (I.E., BUSH AND POLE), FIELD AND SEED PRODUCTION|111219|23.92
SNOW PEA FARMING, FIELD AND SEED PRODUCTION|111219|23.92
SNOW PEA FARMING, FIELD AND SEED PRODUCTION|111219|23.92
SPAGHETTI SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
SPAGHETTI SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
SPINACH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
SPINACH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
SQUASH FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
STRING BEAN FARMING, FIELD AND SEED PRODUCTION|111219|23.92
STRING BEAN FARMING, FIELD AND SEED PRODUCTION|111219|23.92
SWEET CORN FARMING, FIELD AND SEED PRODUCTION|111219|23.92
SWEET CORN FARMING, FIELD AND SEED PRODUCTION|111219|23.92
SWEET PEPPER FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
SWEET PEPPER FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
TARO FARMING, FIELD AND SEED PRODUCTION|111219|23.92
TARO FARMING, FIELD AND SEED PRODUCTION|111219|23.92
TOMATO FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
TOMATO FARMING (EXCEPT UNDER COVER), FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
TRUCK FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
TRUCK FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
TURNIP FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
TURNIP FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
VEGETABLE AND MELON FARMING, VEGETABLE (EXCEPT POTATO) AND MELON DOMINANT CROPS, FIELD, BEDDING PLANTS AND SEED PRODUCTION|111219|23.92
VEGETABLE AND MELON FARMING, VEGETABLE (EXCEPT POTATO) AND MELON DOMINANT CROPS, FIELD, BEDDING PLANTS AND SEED PRODUCTION|111219|23.92
VEGETABLE AND POTATO FARMING, VEGETABLE (EXCEPT POTATO) DOMINANT CROPS, FIELD, BEDDING PLANTS AND SEED PRODUCTION|111219|23.92
VEGETABLE AND POTATO FARMING, VEGETABLE (EXCEPT POTATO) DOMINANT CROPS, FIELD, BEDDING PLANTS AND SEED PRODUCTION|111219|23.92
WATERMELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
WATERMELON FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ZUCCHINI FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ZUCCHINI FARMING, FIELD, BEDDING PLANT AND SEED PRODUCTION|111219|23.92
ORANGE GROVES|111310|1626.46
ORANGE GROVES|111310|1626.46
CITRUS (EXCEPT ORANGE) GROVES|111320|203.31
CITRUS (EXCEPT ORANGE) GROVES|111320|203.31
CITRUS GROVES (EXCEPT ORANGE)|111320|203.31
CITRUS GROVES (EXCEPT ORANGE)|111320|203.31
GRAPEFRUIT GROVES|111320|203.31
GRAPEFRUIT GROVES|111320|203.31
LEMON GROVES|111320|203.31
LEMON GROVES|111320|203.31
LIME GROVES|111320|203.31
LIME GROVES|111320|203.31
MANDARIN GROVES|111320|203.31
MANDARIN GROVES|111320|203.31
TANGELO GROVES|111320|203.31
TANGELO GROVES|111320|203.31
TANGERINE GROVES|111320|203.31
TANGERINE GROVES|111320|203.31
APPLE ORCHARDS|111331|1626.46
APPLE ORCHARDS|111331|1626.46
GRAPE FARMING WITHOUT MAKING WINE|111332|542.15
GRAPE FARMING WITHOUT MAKING WINE|111332|542.15
GRAPE VINEYARDS|111332|542.15
GRAPE VINEYARDS|111332|542.15
RAISIN FARMING|111332|542.15
RAISIN FARMING|111332|542.15
STRAWBERRY FARMING|111333|1626.46
STRAWBERRY FARMING|111333|1626.46
BERRY (EXCEPT STRAWBERRY) FARMING|111334|135.54
BERRY (EXCEPT STRAWBERRY) FARMING|111334|135.54
BLACKBERRY FARMING|111334|135.54
BLACKBERRY FARMING|111334|135.54
BLUEBERRY FARMING|111334|135.54
BLUEBERRY FARMING|111334|135.54
BOYSENBERRY FARMING|111334|135.54
BOYSENBERRY FARMING|111334|135.54
CRANBERRY FARMING|111334|135.54
CRANBERRY FARMING|111334|135.54
CURRANT FARMING|111334|135.54
CURRANT FARMING|111334|135.54
DEWBERRY FARMING|111334|135.54
DEWBERRY FARMING|111334|135.54
GOOSEBERRY FARMING|111334|135.54
GOOSEBERRY FARMING|111334|135.54
HUCKLEBERRY FARMING|111334|135.54
HUCKLEBERRY FARMING|111334|135.54
LOGANBERRY FARMING|111334|135.54
LOGANBERRY FARMING|111334|135.54
RASPBERRY FARMING|111334|135.54
RASPBERRY FARMING|111334|135.54
YOUNGBERRY FARMING|111334|135.54
YOUNGBERRY FARMING|111334|135.54
ALMOND FARMING|111335|162.65
ALMOND FARMING|111335|162.65
BRAZIL NUT FARMING|111335|162.65
BRAZIL NUT FARMING|111335|162.65
CASHEW FARMING|111335|162.65
CASHEW FARMING|111335|162.65
FILBERT FARMING|111335|162.65
FILBERT FARMING|111335|162.65
HAZELNUT FARMING|111335|162.65
HAZELNUT FARMING|111335|162.65
MACADAMIA FARMING|111335|162.65
MACADAMIA FARMING|111335|162.65
PECAN FARMING|111335|162.65
PECAN FARMING|111335|162.65
PISTACHIO FARMING|111335|162.65
PISTACHIO FARMING|111335|162.65
TREE NUT FARMING|111335|162.65
TREE NUT FARMING|111335|162.65
WALNUT FARMING|111335|162.65
WALNUT FARMING|111335|162.65
FRUIT AND TREE NUT COMBINATION FARMING|111336|1626.46
FRUIT AND TREE NUT COMBINATION FARMING|111336|1626.46
APRICOT FARMING|111339|56.08
APRICOT FARMING|111339|56.08
AVOCADO FARMING|111339|56.08
AVOCADO FARMING|111339|56.08
BANANA FARMING|111339|56.08
BANANA FARMING|111339|56.08
CACTUS FRUIT FARMING|111339|56.08
CACTUS FRUIT FARMING|111339|56.08
CHERRY FARMING|111339|56.08
CHERRY FARMING|111339|56.08
COCONUT TREE FARMING|111339|56.08
COCONUT TREE FARMING|111339|56.08
COFFEE FARMING|111339|56.08
COFFEE FARMING|111339|56.08
DATE FARMING|111339|56.08
DATE FARMING|111339|56.08
DECIDUOUS TREE FRUIT (EXCEPT APPLES, CITRUS) FARMING|111339|56.08
DECIDUOUS TREE FRUIT (EXCEPT APPLES, CITRUS) FARMING|111339|56.08
FIG FARMING|111339|56.08
FIG FARMING|111339|56.08
GUAVA FARMING|111339|56.08
GUAVA FARMING|111339|56.08
KIWI FRUIT FARMING|111339|56.08
KIWI FRUIT FARMING|111339|56.08
MANGO FARMING|111339|56.08
MANGO FARMING|111339|56.08
NECTARINE FARMING|111339|56.08
NECTARINE FARMING|111339|56.08
NONCITRUS FRUIT FARMING|111339|56.08
NONCITRUS FRUIT FARMING|111339|56.08
OLIVE FARMING|111339|56.08
OLIVE FARMING|111339|56.08
OTHER NONCITRUS FRUIT FARMING|111339|56.08
OTHER NONCITRUS FRUIT FARMING|111339|56.08
PAPAYA FARMING|111339|56.08
PAPAYA FARMING|111339|56.08
PASSION FRUIT FARMING|111339|56.08
PASSION FRUIT FARMING|111339|56.08
PEACH FARMING|111339|56.08
PEACH FARMING|111339|56.08
PEAR FARMING|111339|56.08
PEAR FARMING|111339|56.08
PERSIMMON FARMING|111339|56.08
PERSIMMON FARMING|111339|56.08
PINEAPPLE FARMING|111339|56.08
PINEAPPLE FARMING|111339|56.08
PLANTAIN FARMING|111339|56.08
PLANTAIN FARMING|111339|56.08
PLUM FARMING|111339|56.08
PLUM FARMING|111339|56.08
POMEGRANATE FARMING|111339|56.08
POMEGRANATE FARMING|111339|56.08
PRICKLY PEAR FARMING|111339|56.08
PRICKLY PEAR FARMING|111339|56.08
PRUNE FARMING|111339|56.08
PRUNE FARMING|111339|56.08
QUINCE FARMING|111339|56.08
QUINCE FARMING|111339|56.08
MUSHROOM FARMING|111411|406.61
MUSHROOM FARMING|111411|406.61
MUSHROOM PRODUCTION|111411|406.61
MUSHROOM PRODUCTION|111411|406.61
MUSHROOM SPAWN FARMING|111411|406.61
MUSHROOM SPAWN FARMING|111411|406.61
SHITAKE MUSHROOM FARMING|111411|406.61
SHITAKE MUSHROOM FARMING|111411|406.61
ALFALFA SPROUT FARMING, GROWN UNDER COVER|111419|77.45
ALFALFA SPROUT FARMING, GROWN UNDER COVER|111419|77.45
BEAN SPROUT FARMING,  GROWN UNDER COVER|111419|77.45
BEAN SPROUT FARMING,  GROWN UNDER COVER|111419|77.45
CUCUMBER FARMING, GROWN UNDER COVER|111419|77.45
CUCUMBER FARMING, GROWN UNDER COVER|111419|77.45
EGGPLANT FARMING, GROWN UNDER COVER|111419|77.45
EGGPLANT FARMING, GROWN UNDER COVER|111419|77.45
ENDIVE FARMING, GROWN UNDER COVER|111419|77.45
ENDIVE FARMING, GROWN UNDER COVER|111419|77.45
ENGLISH PEA FARMING, GROWN UNDER COVER|111419|77.45
ENGLISH PEA FARMING, GROWN UNDER COVER|111419|77.45
ESCAROLE FARMING, GROWN UNDER COVER|111419|77.45
ESCAROLE FARMING, GROWN UNDER COVER|111419|77.45
FRUIT FARMING, GROWN UNDER COVER|111419|77.45
FRUIT FARMING, GROWN UNDER COVER|111419|77.45
GARLIC FARMING, GROWN UNDER COVER|111419|77.45
GARLIC FARMING, GROWN UNDER COVER|111419|77.45
GINGERROOT FARMING, GROWN UNDER COVER|111419|77.45
GINGERROOT FARMING, GROWN UNDER COVER|111419|77.45
GINSENG FARMING, GROWN UNDER COVER|111419|77.45
GINSENG FARMING, GROWN UNDER COVER|111419|77.45
HERB FARMING, GROWN UNDER COVER|111419|77.45
HERB FARMING, GROWN UNDER COVER|111419|77.45
HYDROPONIC CROP FARMING|111419|77.45
HYDROPONIC CROP FARMING|111419|77.45
MARIJUANA, GROWN UNDER COVER|111419|77.45
MARIJUANA, GROWN UNDER COVER|111419|77.45
MELON FARMING, GROWN UNDER COVER|111419|77.45
MELON FARMING, GROWN UNDER COVER|111419|77.45
OTHER FOOD CROPS GROWN UNDER COVER|111419|77.45
OTHER FOOD CROPS GROWN UNDER COVER|111419|77.45
RHUBARB, GROWN UNDER COVER|111419|77.45
RHUBARB, GROWN UNDER COVER|111419|77.45
SPICE FARMING, GROWN UNDER COVER|111419|77.45
SPICE FARMING, GROWN UNDER COVER|111419|77.45
TOMATO FARMING, GROWN UNDER COVER|111419|77.45
TOMATO FARMING, GROWN UNDER COVER|111419|77.45
TRUFFLES FARMING, GROWN UNDER COVER|111419|77.45
TRUFFLES FARMING, GROWN UNDER COVER|111419|77.45
VEGETABLE FARMING, GROWN UNDER COVER|111419|77.45
VEGETABLE FARMING, GROWN UNDER COVER|111419|77.45
AZALEA FARMING|111421|85.6
AZALEA FARMING|111421|85.6
CHRISTMAS TREE GROWING|111421|85.6
CHRISTMAS TREE GROWING|111421|85.6
CORMS FARMING|111421|85.6
CORMS FARMING|111421|85.6
FIELD NURSERIES (I.E., GROWING OF FLOWERS AND SHRUBBERY)|111421|85.6
FIELD NURSERIES (I.E., GROWING OF FLOWERS AND SHRUBBERY)|111421|85.6
FLOWER BULB GROWING|111421|85.6
FLOWER BULB GROWING|111421|85.6
FRUIT STOCK (E.G., PLANTS, SEEDLINGS, TREES) GROWING|111421|85.6
FRUIT STOCK (E.G., PLANTS, SEEDLINGS, TREES) GROWING|111421|85.6
HERBACEOUS PERENNIAL GROWING|111421|85.6
HERBACEOUS PERENNIAL GROWING|111421|85.6
NURSERY AND TREE PRODUCTION|111421|85.6
NURSERY AND TREE PRODUCTION|111421|85.6
NURSERY STOCK GROWING|111421|85.6
NURSERY STOCK GROWING|111421|85.6
NURSERY WITH TREE PRODUCTION (EXCEPT FOR REFORESTATION)|111421|85.6
NURSERY WITH TREE PRODUCTION (EXCEPT FOR REFORESTATION)|111421|85.6
PRESEEDED MAT FARMING|111421|85.6
PRESEEDED MAT FARMING|111421|85.6
PROPAGATION MATERIAL FARMING|111421|85.6
